tweet_id,date,epochtime,content,hashtags,like_count,retweet_count,reply_count,user,is_reply,real_or_fake,news_or_claim
1298960028897079297,08-27-2020,1598545579000.0,So you come in here WITHOUT A MASK   YOUR CHILDREN ARE COUGHING EVERYWHERE  NONE OF THEM ARE WEARING SHOES !! And you have the audacity to get mad that we asked for you to wear a mask ????? We should be mad that you’re putting everyone in danger !,,0,1,0,321206747,False,real,claim
1298843581596262401,08-27-2020,1598517815000.0,SOMETHING SEEMINGLY ILLOGICAL: When I watch families with young children shopping without face masks while the parents are if full gear with mask and sometimes a shield! Ok.... aren't children human? Therefore  if adults should wear protection  shouldn't the children?,,0,0,0,2302626632,False,real,claim
1298802468730667008,08-27-2020,1598508013000.0,Question of the Day: "What type of masks should children wear?"  🤔 Answer: Children who are in general good health can wear a non-medical or fabric mask #facemask #kidsmask #questionoftheday #cdcguideline,facemask|kidsmask|questionoftheday|cdcguideline,0,0,0,1287785895878262784,False,real,claim
1298551702061228033,08-26-2020,1598448226000.0,Just to be clear...WHO and UNICEF advise that children aged 12+ should wear a mask under the same conditions as adults  in particular when they cannot guarantee at least a 1-metre distance from others and there is widespread transmission in the area. Can we move on  please?!,,1,0,0,344833,False,real,claim
1298371227002830857,08-25-2020,1598405197000.0,I don’t get it. @WHO said ‘children aged 12 and over should wear a mask ... when they cannot guarantee at least a 1-metre distance from others and there is widespread transmission in the area’ - erm  why not classrooms then? 30+ kids aren’t going to be 1 metre apart are they 🤷🏼‍♀️,,3,0,0,1133216042803765248,False,real,claim
1297962523413614593,08-24-2020,1598307755000.0,Should children be made to wear a mask in #School ? 👇 Vote below 👇,School,123,206,40,1266142915073658882,False,real,claim
1297917853643964417,08-24-2020,1598297105000.0,Should it be compulsory for children returning to school to wear a face mask ?   #uk #school #COVID19 #masks #facecoverings #facemasks #schoolsreopening,uk|school|COVID19|masks|facecoverings|facemasks|schoolsreopening,1,0,1,1297505517569540097,False,real,claim
1297847142351085568,08-24-2020,1598280246000.0,. @WHO Should teachers or other adults working with children wear a mask? In areas where there is widespread transmission  all adults under the age of 60 and who are in general good health should wear fabric masks when they cannot guarantee at least a 1-metre distance from others,,12,1,2,22536315,False,real,claim
1297422320580153345,08-23-2020,1598178960000.0,Should our senior school children 11 years + wear a mask to school from September when in confined spaces?  @chriswhitty @GavinWilliamson @WHO  #coronavirusuk #Covid19UK #education #schoolsreopeninguk,coronavirusuk|Covid19UK|education|schoolsreopeninguk,1,0,2,1013383688,False,real,claim
1295623638457159680,08-18-2020,1597750121000.0,Best mask compliance argument:  “Whilst there is no conclusive evidence  it does at least slow down the spread of a virus and will therefore save some lives. Just wear one”  If that is the rationale. Flu disproportionately kills children  should we wear a mask forever?,,11,3,3,2831435520,False,real,claim
