news_id,date,real_or_fake,tweet_id
374,,fake,1256341742032490497
374,,fake,1256327785322147841
374,,fake,1256257846041169920
374,,fake,1256245126097244160
374,,fake,1256241269032050689
374,,fake,1256203634179805185
374,,fake,1256102522592260097
374,,fake,1256011317372207104
374,,fake,1256008926367121408
374,,fake,1255990833855238145
374,,fake,1255987472175181830
374,,fake,1255968512578916352
374,,fake,1255964528224976896
374,,fake,1255952602526822401
374,,fake,1255936086934781952
374,,fake,1255933539473752064
374,,fake,1255932804099002368
374,,fake,1255917537566605314
374,,fake,1255906741449080837
374,,fake,1255895497438638080
374,,fake,1255875445326852100
374,,fake,1255871530808086533
374,,fake,1255861806804996097
374,,fake,1255857681996361728
374,,fake,1255854308156936192
374,,fake,1255812544608034823
374,,fake,1255765001626955776
374,,fake,1255757984359165952
374,,fake,1255680394340503552
374,,fake,1255673139498856449
374,,fake,1255670950411956224
374,,fake,1255669327757406208
374,,fake,1255654851591180288
374,,fake,1255653555752460289
374,,fake,1255629151807008768
374,,fake,1255618834536394753
374,,fake,1255597849548599304
374,,fake,1255568405903663113
374,,fake,1255567445668040705
374,,fake,1255559096549298176
374,,fake,1255541687067250688
374,,fake,1255538930008686593
374,,fake,1255530537315336196
374,,fake,1255528622187778055
374,,fake,1255512788551839746
374,,fake,1255508318728192000
374,,fake,1255456505341661185
374,,fake,1255375928605237249
374,,fake,1255344109839093761
374,,fake,1255342128206577666
374,,fake,1255296585585565699
374,,fake,1255294870530523137
374,,fake,1255283804962525191
374,,fake,1255279279463706627
374,,fake,1255267430869467136
374,,fake,1255245589299814402
374,,fake,1255244240621318149
374,,fake,1255243698201415681
374,,fake,1255231872914857984
374,,fake,1255220915148816386
374,,fake,1255199379180273665
374,,fake,1255182678715887616
374,,fake,1255179194767564800
374,,fake,1255179188023296000
374,,fake,1255164532852428800
374,,fake,1255160620510523396
374,,fake,1255158621442379780
374,,fake,1255153062869491714
374,,fake,1255143323016159234
374,,fake,1255140736363663370
374,,fake,1255120736567558146
374,,fake,1255063838829019136
374,,fake,1255018922966999040
374,,fake,1255001204582567936
374,,fake,1254978634500263937
374,,fake,1254963592492920836
374,,fake,1254948651870367744
374,,fake,1254924935488815106
374,,fake,1254924822309715969
374,,fake,1254923097066610695
374,,fake,1254919497443446786
374,,fake,1254898815577931776
374,,fake,1254894151104991232
374,,fake,1254872926341312513
374,,fake,1254870117097275393
374,,fake,1254865412434489344
374,,fake,1254836420042055680
374,,fake,1254816928373194752
374,,fake,1254816845799948292
374,,fake,1254806669453783040
374,,fake,1254783816012427264
374,,fake,1254782966514892803
374,,fake,1254781235261366276
374,,fake,1254780312732618756
374,,fake,1254780136173387778
374,,fake,1254778319112794117
374,,fake,1254776078821806083
374,,fake,1254754596536238081
374,,fake,1254715752126590977
374,,fake,1254685507935748098
374,,fake,1254685446539325441
374,,fake,1254659769853456384
374,,fake,1254630306906324998
374,,fake,1254627779678744576
374,,fake,1254625573189623808
374,,fake,1254621688513335296
374,,fake,1254621520728600576
374,,fake,1254597192159019009
374,,fake,1254587757491617792
374,,fake,1254577453751812096
374,,fake,1254550143485063169
374,,fake,1254537679414460422
374,,fake,1254531187453972481
374,,fake,1254511520417005568
374,,fake,1254510819905114112
374,,fake,1254498652132741120
374,,fake,1254464970546388992
374,,fake,1254454893781360641
374,,fake,1254438429292707840
374,,fake,1254438152418332674
374,,fake,1254437233530200074
374,,fake,1254436481722130433
374,,fake,1254433392961224704
374,,fake,1254432990450593793
374,,fake,1254430572295991297
374,,fake,1254413521158320129
374,,fake,1254410696533704704
374,,fake,1254410673251115008
374,,fake,1254401157449109505
374,,fake,1254390465400655874
374,,fake,1254388411865104386
374,,fake,1254388157459697665
374,,fake,1254387155893473280
374,,fake,1254383712965443585
374,,fake,1254369302959976448
374,,fake,1254364480961732609
374,,fake,1254335230799802369
374,,fake,1254333835300478976
374,,fake,1254331638692999169
374,,fake,1254328355245002752
374,,fake,1254313347304034304
374,,fake,1254310630066130944
374,,fake,1254310128318320641
374,,fake,1254308957977374725
374,,fake,1254308209457856513
374,,fake,1254307251550126080
374,,fake,1254306110766551041
374,,fake,1254301591798153216
374,,fake,1254274922290929664
374,,fake,1254259350643843072
374,,fake,1254250339475222528
374,,fake,1254229028795342850
374,,fake,1254225167129214978
374,,fake,1254219634070351872
374,,fake,1254218530943381504
374,,fake,1254208344690049024
374,,fake,1254203422141632515
374,,fake,1254191623312982016
374,,fake,1254189124472446976
374,,fake,1254188575995772928
374,,fake,1254187525549076480
374,,fake,1254187084484694017
374,,fake,1254186904272150528
374,,fake,1254181297397825538
374,,fake,1254174596917604355
374,,fake,1254171572501438470
374,,fake,1254168349204008969
374,,fake,1254166969206681601
374,,fake,1254162761489117184
374,,fake,1254161372499369985
374,,fake,1254156048857878533
374,,fake,1254155682418266112
374,,fake,1254133545821298688
374,,fake,1254121690340229121
374,,fake,1254120326457200640
374,,fake,1254108000467537920
374,,fake,1254103203379138561
374,,fake,1254101894982586369
374,,fake,1254090226336763905
374,,fake,1254086936571990017
374,,fake,1254076859391840259
374,,fake,1254070175206215680
374,,fake,1254056264008679424
374,,fake,1254055219199123456
374,,fake,1254055076810768385
374,,fake,1254053725532012547
374,,fake,1254044917510389763
374,,fake,1254044205472759809
374,,fake,1254042580024688640
374,,fake,1254040418158809088
374,,fake,1254040197525901312
374,,fake,1254029724755677188
374,,fake,1254015333817397249
374,,fake,1254013934832685059
374,,fake,1254012369749098496
374,,fake,1254012342607773696
374,,fake,1253994844189581314
374,,fake,1253956306714660864
374,,fake,1253928121155366912
374,,fake,1253923680691859459
374,,fake,1253910403815440386
374,,fake,1253900943772356609
374,,fake,1253895933194010624
374,,fake,1253881928802955265
374,,fake,1253880944697753601
374,,fake,1253876514828976128
374,,fake,1253874752911020032
374,,fake,1253874647675932679
374,,fake,1253872660859289604
374,,fake,1253868436452671489
374,,fake,1253857469325021188
374,,fake,1253856740212453377
374,,fake,1253855861061156870
374,,fake,1253850337619914756
374,,fake,1253849668816998401
374,,fake,1253842939073232903
374,,fake,1253842683803680769
374,,fake,1253837342017613824
374,,fake,1253836870351499267
374,,fake,1253836710275932163
374,,fake,1253834964505964544
374,,fake,1253834041205362689
374,,fake,1253830190368722950
374,,fake,1253829070032236545
374,,fake,1253826543417090049
374,,fake,1253825544090554370
374,,fake,1253801791990292481
374,,fake,1253798668517466112
374,,fake,1253792911776460801
374,,fake,1253792288133844992
374,,fake,1253779996881104897
374,,fake,1253752627008946176
374,,fake,1253750354229026816
374,,fake,1253727870318501889
374,,fake,1253701334366253057
374,,fake,1253695741106757634
374,,fake,1253685706960048129
374,,fake,1253679325834031105
374,,fake,1253669832492531713
374,,fake,1253642203198611456
374,,fake,1253613364485353472
374,,fake,1253611251260940288
374,,fake,1253581763353489408
374,,fake,1253572006102077442
374,,fake,1253536713302999041
374,,fake,1253535440776450048
374,,fake,1253531971973722114
374,,fake,1253524403595341825
374,,fake,1253447037850435584
374,,fake,1253438114707771393
374,,fake,1253433170277462022
374,,fake,1253427989359939585
374,,fake,1253424544888483843
374,,fake,1253418281404227586
374,,fake,1253417724874637312
374,,fake,1253378222969913344
374,,fake,1253374139026595845
374,,fake,1253369957527805952
374,,fake,1253365473309270016
374,,fake,1253363588099477505
374,,fake,1253363403533369344
374,,fake,1253355157833818113
374,,fake,1253338481897529345
374,,fake,1253338473592832002
374,,fake,1253328592164909061
374,,fake,1253311699677073411
374,,fake,1253308258405748738
374,,fake,1253301864734613505
374,,fake,1253300730615656448
374,,fake,1253276161527947264
374,,fake,1253226586175942657
374,,fake,1253202224013950976
374,,fake,1253197622585602048
374,,fake,1253196482909528064
374,,fake,1253173045511979008
374,,fake,1253162197364211713
374,,fake,1253161229406875651
374,,fake,1253154527882117120
374,,fake,1253153793526632448
374,,fake,1253149406225821696
374,,fake,1253132392568586241
374,,fake,1253131845140713473
374,,fake,1253124095010635777
374,,fake,1253120536659595264
374,,fake,1253103208169459713
374,,fake,1253100142707847168
374,,fake,1253070196568440834
374,,fake,1253063179707482112
374,,fake,1253059338274508802
374,,fake,1253047767741669377
374,,fake,1253045064844148736
374,,fake,1253029356663955468
374,,fake,1253001967292514305
374,,fake,1252994377498140672
374,,fake,1252986809551814658
374,,fake,1252979585777614849
374,,fake,1252970605281861638
374,,fake,1252952891977084931
374,,fake,1252950252337934337
374,,fake,1252919491815567368
374,,fake,1252917270562476032
374,,fake,1252917123308859393
374,,fake,1252888596530388993
374,,fake,1252881974806687744
374,,fake,1252840444267905027
374,,fake,1252837047896662018
374,,fake,1252806507898433540
374,,fake,1252791770427113472
374,,fake,1252750006651686914
374,,fake,1252749535752925185
374,,fake,1252738696232787968
374,,fake,1252726896695140352
374,,fake,1252725931044564992
374,,fake,1252712329122205696
374,,fake,1252709457227735040
374,,fake,1252707189455650817
374,,fake,1252707176088391680
374,,fake,1252703154187177984
374,,fake,1252699014056652805
374,,fake,1252685254378303490
374,,fake,1252660140253286400
374,,fake,1252656791894102016
374,,fake,1252654485672996865
374,,fake,1252640794537799680
374,,fake,1252626478551961602
374,,fake,1252626280282906625
374,,fake,1252623029315698689
374,,fake,1252619742491414528
374,,fake,1252616099792924676
374,,fake,1252590324557516802
374,,fake,1252567916488413185
374,,fake,1252564438076608512
374,,fake,1252510910603841537
374,,fake,1252509944420671488
374,,fake,1252497444476084224
374,,fake,1252490381515685888
374,,fake,1252478783606513664
374,,fake,1252452642107920384
374,,fake,1252448952793743361
374,,fake,1252410784543465475
374,,fake,1252407959667146756
374,,fake,1252390851902271488
374,,fake,1252365948629073921
374,,fake,1252365348260548614
374,,fake,1252351223639896067
374,,fake,1252326670985543687
374,,fake,1252320350823682049
374,,fake,1252313693922222080
374,,fake,1252300199252291594
374,,fake,1252300136656465921
374,,fake,1252299204380160004
374,,fake,1252292569691648000
374,,fake,1252285969962872833
374,,fake,1252284031745622017
374,,fake,1252261817067462656
374,,fake,1252243382606454789
374,,fake,1252241458343673856
374,,fake,1252232549922828290
374,,fake,1252201600044720133
374,,fake,1252163807377534976
374,,fake,1252149762708692992
374,,fake,1252149530847576064
374,,fake,1252093034549743616
374,,fake,1252088486288429057
374,,fake,1252076897669955584
374,,fake,1252075979150774273
374,,fake,1252072856764256259
374,,fake,1252068135684849665
374,,fake,1252060341456044034
374,,fake,1252059688994254849
374,,fake,1252056605191012358
374,,fake,1252052935267307521
374,,fake,1252050987180625920
374,,fake,1252030715262201856
374,,fake,1252022631253053440
374,,fake,1252021212517146624
374,,fake,1252007296323989509
374,,fake,1251996073700110338
374,,fake,1251996059028484096
374,,fake,1251988312287588357
374,,fake,1251987565596598272
374,,fake,1251986440361304065
374,,fake,1251975224586915845
374,,fake,1251974436430938112
374,,fake,1251965877253214208
374,,fake,1251965545584484353
374,,fake,1251961498890575878
374,,fake,1251961232061607941
374,,fake,1251955293740830720
374,,fake,1251953067089694724
